1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2,0,0,0,1,0,2,70,0,3,0,1,3,1,2,0,2,0,0,0,0,0,3,1,1,3,2,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,68,0,0,1,1,2,3,0,4,1,12,3,1,1,0,0,0,1,2,0,1,2,1,6,2,0,1,0,1,6,1,0,1,0,1,0,1,1,4,2,3,1,1,1,0,0,3,2,0,3,2,0
0,1,0,0,1,0,0,16,0,0,1,1,0,1,0,1,2,2,3,0,3,1,0,0,0,2,0,1,2,3,0,3,1,0,2,1,0,1,0,0,0,0,0,1,0,0,1,2,2,1,0,1,0,1,2,1,0,2,1,1,2,0,2,1,0,1,0,1,0,0,1,1,1,3,0,0,2,0,1,0,5,2,0,1,17,2,2,1,1,1,0,1,0,1,2,3,1,1,2,2
0,1,3,0,1,0,1,5,3,0,1,3,4,0,2,3,1,3,0,0,1,0,2,2,0,3,3,1,1,3,1,0,1,1,1,1,0,32,0,1,3,0,19,1,2,0,1,0,1,0,40,1,1,0,1,1,2,2,2,3,1,1,0,1,1,0,2,2,2,1,3,0,0,2,1,1,5,0,2,0,0,0,0,1,4,2,1,2,0,1,3,0,0,1,3,0,2,2,0,1
2,2,3,2,465,2,0,1,0,2,1,0,0,0,1,2,1,1,0,1,1,4,1,1,0,0,0,1,5,0,3,1,1,0,2,2,0,0,0,0,1,1,1,0,1,10,0,2,2,0,1,1,1,1,1,3,0,1,0,2,0,0,1,2,2,0,2,1,0,0,0,0,1,85,0,1,1,3,0,1,0,0,0,1,1,0,1,3,0,2,0,1,1,0,1,3,0,1,1,0
2,1,1,2,2,0,1,0,0,2,1,2,0,5,1,0,0,0,0,1,2,2,3,3,1,0,2,2,2,0,0,1,0,2,2,0,2,2,0,0,0,2,3,3,0,1,0,0,11,3,2,1,2,3,1,0,1,1,3,1,2,1,1,1,0,4,3,2,0,3,1,0,1,31,1,0,1,1,0,0,0,2,7,0,0,1,0,2,0,2,3,2,1,0,0,1,1,0,2,1
2,1,0,3,2,0,0,0,1,0,6,1,1,1,0,1,1,0,2,4,0,0,1,0,0,2,0,3,10,27,0,0,2,1,0,1,1,6,0,3,0,1,0,1,1,0,0,1,1,2,1,1,0,0,0,2,0,1,2,0,0,1,0,0,0,1,1,2,0,1,0,1,0,2,2,1,0,1,0,1,4,3,1,1,3,0,0,1,2,1,1,0,1,3,3,3,1,1,2,1
0,2,1,1,0,3,0,0,1,1,0,0,0,1,1,19,0,0,3,2,0,0,1,0,1,1,1,1,0,1,0,4,2,0,1,1,2,2,0,1,1,2,0,1,0,0,14,2,3,0,0,0,0,0,1,0,2,0,2,2,0,0,2,2,0,1,2,1,1,0,0,0,1,0,2,2,0,0,1,1,0,0,0,1,1,3,2,0,0,8,1,0,2,1,0,1,6,0,2,1
2,2,0,34,0,0,2,0,1,4,1,1,2,0,1,1,0,2,0,0,1,2,1,2,2,2,3,1,0,9,0,2,2,1,0,1,1,1,0,2,1,0,0,2,1,6,0,0,0,1,0,0,3,1,1,1,2,1,3,3,1,0,0,0,2,0,1,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1,2,1,3,0,2,7,1,0,1,1,1,8,4,0,4,2,1,2
1,2,0,0,0,2,3,1,1,0,0,2,0,1,0,0,13,2,4,0,1,0,2,1,1,1,0,2,1,0,1,36,2,0,1,0,0,1,1,2,0,5,3,1,1,0,0,1,0,2,1,2,0,0,3,1,3,0,1,0,0,3,1,0,2,3,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,2,0,2,0,0,0,2,0,0,0,0,2,1,1,2,2,1
0,1,2,3,1,3,2,0,3,0,2,2,1,1,0,16,2,3,1,3,0,0,1,0,0,6,5,1,0,2,1,0,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,2,1,2,0,0,3,0,0,3,1,2,4,0,3,0,6,1,1,10,2,0,1,1,0,1,1,1,1,2,1,0,0,1
0,13,0,2,0,2,0,0,1,3,2,1,1,1,1,0,2,0,3,0,0,11,1,0,1,0,1,1,4,1,0,1,0,2,0,0,2,0,0,0,1,1,1,0,1,0,4,0,2,1,0,2,0,1,2,2,1,0,0,0,2,0,0,0,1,12,9,1,10,1,0,0,0,2,1,0,0,1,1,0,3,1,0,0,0,1,1,1,1,2,1,2,1,1,0,0,2,0,0,0
0,0,0,0,1,0,1,2,0,2,0,2,1,1,1,2,1,0,2,1,2,0,1,3,1,1,3,2,0,4,1,0,1,8,0,1,3,0,4,1,1,0,0,1,1,0,1,0,0,2,2,1,1,3,0,2,0,0,1,1,0,0,2,0,0,1,2,1,0,1,1,1,3,2,4,0,1,1,2,1,0,0,0,1,1,1,3,0,1,0,1,1,3,1,0,1,1,1,1,1
1,0,1,0,2,1,0,2,0,1,0,5,0,1,0,2,0,3,2,1,0,0,1,3,0,1,3,0,0,1,1,0,1,1,1,2,21,0,2,0,1,1,1,1,1,0,1,1,1,5,6,0,1,2,0,1,0,0,4,3,0,0,0,1,0,0,0,2,2,0,0,2,1,1,2,0,0,0,2,3,0,9,1,1,0,2,1,1,0,1,0,0,0,3,1,0,0,1,0,0
0,0,23,0,2,1,3,4,1,0,1,2,1,0,2,1,0,1,1,2,0,1,0,2,4,0,1,2,1,1,0,0,2,0,2,0,0,0,2,4,2,0,2,1,0,2,0,1,1,1,115,0,0,0,0,0,1,1,1,1,0,1,0,0,1,3,1,1,0,1,0,0,1,2,1,0,2,0,1,0,1,1,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,1,1
1,0,2,1,2,0,1,1,2,2,3,1,2,2,0,0,3,0,0,1,0,2,1,1,2,0,1,0,0,0,2,1,1,2,0,13,1,0,5,0,1,1,2,0,4,1,0,1,0,2,1,5,0,0,0,5,2,9,28,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,2,1,0,2,0,5,0,0,4,0,1,2,1,0,3,4,0,2,2,1,0
0,1,1,0,2,1,1,0,1,1,0,4,2,3,2,1,1,1,1,3,5,1,1,0,0,1,0,2,1,0,1,0,2,2,1,1,3,0,1,1,0,1,1,1,0,3,1,0,4,3,0,0,0,0,2,2,0,0,1,0,2,1,0,2,0,4,1,0,0,1,0,1,4,3,2,1,15,1,2,1,3,2,0,6,1,0,1,1,2,2,1,1,1,1,2,1,1,1,1,1
0,4,2,1,2,1,0,1,1,1,2,25,0,0,0,1,0,10,0,3,0,2,2,1,2,0,1,0,0,1,1,0,3,0,2,3,1,0,1,0,0,3,1,1,0,0,1,0,2,0,0,1,0,0,2,0,0,3,0,1,1,1,3,2,1,0,0,0,1,3,1,2,1,1,0,2,0,0,1,1,0,2,3,1,2,1,0,1,1,1,3,1,2,1,1,1,0,0,1,0
0,3,0,1,0,0,15,0,2,0,1,1,0,1,1,3,0,0,2,1,1,1,1,0,2,0,1,0,1,2,1,2,1,1,3,0,1,1,0,4,0,0,1,2,4,0,2,0,0,1,1,0,0,2,2,1,1,1,2,1,0,1,1,0,0,2,1,2,1,1,2,1,1,1,0,2,3,0,2,2,0,0,1,1,0,1,0,1,8,0,1,1,1,1,1,0,0,0,2,0
1,0,1,2,0,1,3,2,0,1,1,2,2,1,3,1,1,0,1,0,0,0,2,1,0,0,3,3,0,0,1,1,0,1,2,1,2,1,1,2,0,4,1,0,0,1,0,1,0,1,0,3,3,0,1,0,1,0,3,0,0,1,0,0,1,1,0,1,2,1,1,0,2,0,3,4,6,0,21,1,0,1,1,0,3,2,1,0,1,2,0,1,0,0,3,2,0,0,3,3
0,0,1,1,0,1,21,1,1,2,2,1,5,1,13,0,3,1,2,1,0,0,4,2,1,3,2,0,1,0,0,1,3,0,0,1,0,0,2,0,0,3,0,0,2,3,2,2,1,2,0,2,1,1,0,2,2,3,1,1,3,0,2,2,1,1,2,2,1,0,1,0,2,0,0,1,4,1,1,2,1,2,0,1,0,0,1,1,2,0,1,8,1,3,1,39,0,0,0,1
1,4,0,1,1,3,0,2,0,1,0,0,1,2,0,3,1,1,2,2,1,1,2,1,4,1,1,0,0,1,2,1,1,1,1,2,1,1,0,3,1,1,0,10,0,11,3,0,2,0,1,1,1,0,0,0,3,0,1,2,1,1,1,2,14,3,1,0,1,0,0,1,3,1,2,1,0,1,0,3,1,0,2,2,0,0,1,1,1,1,1,7,2,12,0,1,0,1,1,1
