1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,4,0,1,2,0,0,0,1,17,0,0,2,4,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,11,0,0,1,132,0,0,0,0,0,1,1,0,14,1,0,0,0,1,0,0,1,1,0,0,2,1,0,1,0,0,1,30,1
0,0,0,2,2,0,1,0,1,5,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,5,8,1,1,0,1,2,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,1,0,6,0,0,0,5,1,0,1,0,0,1,3,12,1,0,9,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,2,0
0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,12,0,0,4,0,1,1,0,0,0,0,0,0,12,1,2,0,5,0,1,1,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,0,1,0,0,67,0,0,0,1,0,5,0,0,0,0,2,3,0,0,3,34,2,0,1,2,0,1,1,1,0,1,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0
0,0,1,0,0,2,4,3,1,5,1,1,0,0,2,0,5,2,1,1,5,0,2,2,0,9,21,2,1,0,3,0,1,1,1,0,1,3,0,0,1,0,0,0,1,0,0,0,7,16,0,0,10,9,0,0,0,6,0,0,0,0,1,0,0,0,11,0,0,1,0,1,0,0,17,0,0,1,0,2,1,0,0,2,0,0,0,0,3,0,0,1,1,0,0,2,1,0,1,3
1,0,20,1,0,0,0,4,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,7,0,1,0,0,1,0,1,0,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,0,3,0,1,2,0,3,0,1,1,0,1,0,13,0,2,1,4,0,1,0,0,5,1,2,1,1,5,1,3,0,14,4,0,1,0,0,1,0,1,0,3,2,0,0,0,2,0,1,0,0,1,0,0,0,3,0,0,6,0,0,0,1,1,0,0,185,5,1,14,0,2,2,1,2,0,1,0,2,0,0,2,1,0,3,1,2,0,2,3,1,6,0,1,0
0,1,0,0,6,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,87,1,0,2,0,0,0,1,0,0,1,0,1,0,2,0,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,47,19,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,2,0,0,1,2,1,0,64,0,0,0,0,0,0,21,0,0,0,0,0,8,2,0,0
0,1,0,0,0,1,0,0,1,213,0,0,1,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,9,0,1,1,1,0,0,1,2,0,1,0,4,1,0,0,0,0,1,1,0,0,3,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,10,0,2,1,0,0,45,1,1,0,0,2,1,1,1,6,1,0,0,5,0,0,0,0,0,1,0
1,1,0,4,0,4,0,3,0,0,0,1,18,0,3,1,0,0,0,8,0,1,0,0,4,0,0,68,0,0,1,5,16,0,0,4,1,3,1,1,0,16,0,2,0,75,1,1,0,0,0,0,0,5,0,7,2,0,1,0,0,1,0,1,0,0,0,0,4,0,0,31,0,1,0,1,0,0,12,1,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1,2,6,3,0,0,1,2,3,0,0,2,2,0,3,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,4,0,1,0,0,1,0,0,0,1,1,0,1,23,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,2,4,1,1,0,0,0,0,0,0,0,4,1,0,1,0,10,4,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0
